steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,0,0.0,0.0,30.0,20.0,20.0,10.0,20.0
baseline,1,10.0,0.0,10.0,30.0,10.0,10.0,20.0
baseline,2,30.0,0.0,10.0,30.0,0.0,70.0,30.0
baseline,3,10.0,0.0,10.0,45.0,5.0,40.0,30.0
baseline,4,0.0,0.0,40.0,10.0,0.0,30.0,65.0
baseline,5,0.0,0.0,0.0,0.0,40.0,10.0,0.0
baseline,6,30.0,5.0,0.0,10.0,0.0,40.0,10.0
baseline,7,30.0,10.0,5.0,10.0,0.0,30.0,10.0
baseline,8,75.0,75.0,10.0,5.0,0.0,40.0,10.0
baseline,9,10.0,5.0,0.0,10.0,10.0,10.0,5.0
baseline,10,0.0,10.0,10.0,5.0,0.0,40.0,0.0
baseline,11,20.0,85.0,65.0,5.0,0.0,20.0,70.0
baseline,12,60.0,10.0,10.0,0.0,0.0,20.0,10.0
baseline,13,10.0,20.0,75.0,10.0,0.0,65.0,10.0
baseline,14,25.0,20.0,10.0,5.0,5.0,20.0,5.0
baseline,15,5.0,40.0,40.0,0.0,5.0,5.0,0.0
baseline,16,30.0,65.0,75.0,65.0,5.0,65.0,40.0
baseline,17,0.0,10.0,60.0,0.0,10.0,5.0,0.0
baseline,18,0.0,0.0,45.0,0.0,0.0,10.0,0.0
baseline,19,5.0,0.0,65.0,10.0,0.0,85.0,10.0
baseline,20,10.0,10.0,30.0,85.0,5.0,65.0,75.0
baseline,21,20.0,10.0,85.0,0.0,0.0,65.0,0.0
baseline,22,65.0,10.0,70.0,10.0,0.0,15.0,10.0
baseline,23,10.0,10.0,20.0,0.0,70.0,10.0,5.0
baseline,24,5.0,10.0,10.0,85.0,5.0,65.0,70.0
baseline,25,5.0,10.0,10.0,75.0,10.0,40.0,65.0
baseline,26,5.0,0.0,40.0,85.0,0.0,30.0,70.0
baseline,27,0.0,0.0,10.0,65.0,5.0,30.0,45.0
baseline,28,0.0,0.0,0.0,20.0,30.0,10.0,20.0
baseline,29,10.0,10.0,20.0,85.0,0.0,65.0,85.0
baseline,30,5.0,0.0,0.0,65.0,10.0,30.0,40.0
baseline,31,30.0,10.0,30.0,85.0,0.0,15.0,75.0
baseline,32,0.0,0.0,0.0,0.0,75.0,5.0,0.0
baseline,33,0.0,0.0,0.0,0.0,60.0,5.0,0.0
baseline,34,0.0,0.0,20.0,30.0,70.0,10.0,30.0
